,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
117,117,30,Gr,R,Mimic,mimic_flipped_pred_subt30_Grey_Posx_850_InvisPreyLocInd_45.webm,v0,30_Gr_R_Mimic_v0
118,118,30,Gr,R,Mimic,mimic_flipped_pred_subt30_Grey_Posx_850_InvisPreyLocInd_46.webm,v1,30_Gr_R_Mimic_v1
119,119,30,Gr,R,Mimic,mimic_flipped_pred_subt30_Grey_Posx_850_InvisPreyLocInd_47.webm,v2,30_Gr_R_Mimic_v2
120,120,60,Gr,L,Mimic,mimic_flipped_pred_subt60_Grey_Posx_350_InvisPreyLocInd_48.webm,v0,60_Gr_L_Mimic_v0
121,121,60,Gr,L,Mimic,mimic_flipped_pred_subt60_Grey_Posx_350_InvisPreyLocInd_49.webm,v1,60_Gr_L_Mimic_v1
122,122,60,Gr,L,Mimic,mimic_flipped_pred_subt60_Grey_Posx_350_InvisPreyLocInd_50.webm,v2,60_Gr_L_Mimic_v2
123,123,60,Gr,R,Mimic,mimic_flipped_pred_subt60_Grey_Posx_850_InvisPreyLocInd_51.webm,v0,60_Gr_R_Mimic_v0
124,124,60,Gr,R,Mimic,mimic_flipped_pred_subt60_Grey_Posx_850_InvisPreyLocInd_52.webm,v1,60_Gr_R_Mimic_v1
125,125,60,Gr,R,Mimic,mimic_flipped_pred_subt60_Grey_Posx_850_InvisPreyLocInd_53.webm,v2,60_Gr_R_Mimic_v2
126,126,90,Gr,L,Mimic,mimic_flipped_pred_subt90_Grey_Posx_350_InvisPreyLocInd_54.webm,v0,90_Gr_L_Mimic_v0
127,127,90,Gr,L,Mimic,mimic_flipped_pred_subt90_Grey_Posx_350_InvisPreyLocInd_55.webm,v1,90_Gr_L_Mimic_v1
128,128,90,Gr,L,Mimic,mimic_flipped_pred_subt90_Grey_Posx_350_InvisPreyLocInd_56.webm,v2,90_Gr_L_Mimic_v2
129,129,90,Gr,R,Mimic,mimic_flipped_pred_subt90_Grey_Posx_850_InvisPreyLocInd_57.webm,v0,90_Gr_R_Mimic_v0
130,130,90,Gr,R,Mimic,mimic_flipped_pred_subt90_Grey_Posx_850_InvisPreyLocInd_58.webm,v1,90_Gr_R_Mimic_v1
131,131,90,Gr,R,Mimic,mimic_flipped_pred_subt90_Grey_Posx_850_InvisPreyLocInd_59.webm,v2,90_Gr_R_Mimic_v2
132,132,120,Gr,L,Mimic,mimic_flipped_pred_subt120_Grey_Posx_350_InvisPreyLocInd_60.webm,v0,120_Gr_L_Mimic_v0
133,133,120,Gr,L,Mimic,mimic_flipped_pred_subt120_Grey_Posx_350_InvisPreyLocInd_61.webm,v1,120_Gr_L_Mimic_v1
134,134,120,Gr,L,Mimic,mimic_flipped_pred_subt120_Grey_Posx_350_InvisPreyLocInd_62.webm,v2,120_Gr_L_Mimic_v2
